step time Total Potential Kinetic Kinetic_1 Kinetic_2 Kinetic_3
129 0.129 -0.0327384 -0.0657128 0.0329744 2.56165e-05 0.0197288 0.01322
130 0.13 -0.0327365 -0.0657112 0.0329746 2.59938e-05 0.0197281 0.0132206
131 0.131 -0.0327347 -0.0657096 0.0329749 2.63733e-05 0.0197273 0.0132212
132 0.132 -0.0327329 -0.065708 0.0329751 2.67551e-05 0.0197266 0.0132218
133 0.133 -0.032731 -0.0657064 0.0329754 2.71392e-05 0.0197259 0.0132224
134 0.134 -0.0327292 -0.0657048 0.0329756 2.75254e-05 0.0197251 0.013223
135 0.135 -0.0327273 -0.0657032 0.0329759 2.79139e-05 0.0197244 0.0132236
136 0.136 -0.0327255 -0.0657016 0.0329761 2.83046e-05 0.0197236 0.0132241
137 0.137 -0.0327236 -0.0656999 0.0329763 2.86975e-05 0.0197229 0.0132247
138 0.138 -0.0327218 -0.0656983 0.0329765 2.90926e-05 0.0197221 0.0132253
139 0.139 -0.0327199 -0.0656967 0.0329767 2.94898e-05 0.0197213 0.0132259
140 0.14 -0.0327181 -0.065695 0.032977 2.98891e-05 0.0197206 0.0132265
141 0.141 -0.0327162 -0.0656934 0.0329772 3.02906e-05 0.0197198 0.0132271
142 0.142 -0.0327144 -0.0656918 0.0329774 3.06942e-05 0.019719 0.0132277
143 0.143 -0.0327126 -0.0656901 0.0329776 3.10999e-05 0.0197182 0.0132283
144 0.144 -0.0327107 -0.0656885 0.0329778 3.15077e-05 0.0197174 0.0132289
145 0.145 -0.0327089 -0.0656868 0.0329779 3.19176e-05 0.0197166 0.0132294
146 0.146 -0.032707 -0.0656851 0.0329781 3.23295e-05 0.0197158 0.01323
147 0.147 -0.0327052 -0.0656835 0.0329783 3.27435e-05 0.019715 0.0132306
148 0.148 -0.0327033 -0.0656818 0.0329785 3.31594e-05 0.0197141 0.0132312
149 0.149 -0.0327015 -0.0656801 0.0329786 3.35774e-05 0.0197133 0.0132318
150 0.15 -0.0326996 -0.0656784 0.0329788 3.39974e-05 0.0197125 0.0132323
151 0.151 -0.0326978 -0.0656767 0.0329789 3.44194e-05 0.0197116 0.0132329
152 0.152 -0.032696 -0.065675 0.0329791 3.48433e-05 0.0197108 0.0132335
153 0.153 -0.0326941 -0.0656733 0.0329792 3.52692e-05 0.0197099 0.0132341
154 0.154 -0.0326923 -0.0656716 0.0329794 3.5697e-05 0.019709 0.0132346
155 0.155 -0.0326904 -0.0656699 0.0329795 3.61267e-05 0.0197082 0.0132352
156 0.156 -0.0326886 -0.0656682 0.0329796 3.65584e-05 0.0197073 0.0132358
157 0.157 -0.0326867 -0.0656665 0.0329798 3.69919e-05 0.0197064 0.0132363
158 0.158 -0.0326849 -0.0656648 0.0329799 3.74273e-05 0.0197056 0.0132369
159 0.159 -0.0326831 -0.065663 0.03298 3.78645e-05 0.0197047 0.0132375
160 0.16 -0.0326812 -0.0656613 0.0329801 3.83036e-05 0.0197038 0.013238
161 0.161 -0.0326794 -0.0656596 0.0329802 3.87445e-05 0.0197029 0.0132386
162 0.162 -0.0326775 -0.0656578 0.0329803 3.91872e-05 0.019702 0.0132391
163 0.163 -0.0326757 -0.0656561 0.0329804 3.96318e-05 0.019701 0.0132397
164 0.164 -0.0326739 -0.0656543 0.0329804 4.0078e-05 0.0197001 0.0132402
165 0.165 -0.032672 -0.0656525 0.0329805 4.05261e-05 0.0196992 0.0132408
166 0.166 -0.0326702 -0.0656508 0.0329806 4.09759e-05 0.0196983 0.0132413
167 0.167 -0.0326683 -0.065649 0.0329807 4.14274e-05 0.0196973 0.0132419
168 0.168 -0.0326665 -0.0656472 0.0329807 4.18806e-05 0.0196964 0.0132424
